% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.124883236e+02 +1.124883236e+02 +1.919683236e+02 +1.919683236e+02 +8.5097e-01 +3.7860e-01 +1.4086e+00 +1.0658e-01 +7.8479e-02 +1.8767e+00 +1.5863e+00 +1.9849e+00 +9.8098e-01 +1.5969e-01 +1.1826e+00 +2.2705e-01 +8.3020e-01 +1.1632e+00 +1.5111e+00 +3.0220e-01 +1.8706e+00 +6.2171e-01 +8.0572e-01 +1.1714e+00
5 +9.620233409e+01 +9.620233409e+01 +1.756823341e+02 +1.756823341e+02 +2.9591e-01 +7.9690e-01 +6.8432e-01 +1.5516e+00 +3.1391e-02 +7.9158e-01 +7.6068e-01 +1.4191e+00 +1.3928e+00 +4.4115e-01 +3.5029e-01 +1.4235e+00 +1.4487e+00 +7.6956e-01 +1.2126e+00 +1.1565e+00 +1.6436e+00 +9.8246e-01 +4.2749e-01 +1.0883e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.712371972e+02 +1.712371972e+02 +5.657171972e+02 +5.657171972e+02 +9.9008e-01 +6.2342e-02 +1.0800e+00 +1.8397e+00 +3.5819e-01 +7.5850e-01 +1.4248e+00 +1.2626e+00 +1.1077e-01 +1.9916e+00 +1.4949e+00 +2.6218e-02 +1.8284e+00 +1.4469e+00 +3.6947e-01 +1.7114e+00 +1.9672e+00 +9.6450e-01 +4.2009e-02 +1.4228e+00
42 +1.560549162e+02 +1.560549162e+02 +5.505349162e+02 +5.505349162e+02 +4.8076e-01 +1.6922e+00 +7.5689e-01 +8.2337e-01 +3.0187e-01 +5.4414e-01 +1.9419e+00 +2.6806e-01 +4.2183e-01 +2.0672e-01 +3.0817e-01 +1.8683e+00 +1.6787e+00 +2.9934e-01 +3.5617e-02 +8.5349e-01 +8.6277e-01 +2.1772e-01 +1.4831e+00 +1.7688e+00
% function evaluation | noise-free fitness - Fopt (-2.471100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.367550903e+02 +1.367550903e+02 -1.103549097e+02 -1.103549097e+02 +1.0110e+00 +1.1111e+00 +1.4252e+00 +1.3053e+00 +9.5527e-01 +1.3723e+00 +6.0738e-01 +1.2536e+00 +1.1422e+00 +6.2759e-01 +2.6350e-01 +1.6613e+00 +1.4175e+00 +1.2064e+00 +3.8182e-01 +1.4328e+00 +1.8401e+00 +1.2914e+00 +7.9241e-01 +1.1356e+00
% function evaluation | noise-free fitness - Fopt (-1.520400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.031277482e+02 +1.031277482e+02 -4.891225177e+01 -4.891225177e+01 +1.9805e+00 +6.9913e-01 +5.7040e-02 +1.0073e+00 +5.5525e-01 +7.7459e-01 +8.6399e-01 +1.2839e+00 +3.0207e-01 +1.8282e+00 +5.3089e-01 +6.6368e-01 +1.6002e+00 +1.4166e+00 +1.9076e-01 +1.7982e-01 +6.6995e-01 +1.2873e+00 +1.0869e+00 +1.4944e+00
6 +9.952488177e+01 +9.952488177e+01 -5.251511823e+01 -5.251511823e+01 +1.2125e+00 +1.7979e+00 +1.5713e+00 +5.2168e-01 +1.8933e+00 +8.7706e-02 +1.2064e+00 +2.1039e-01 +1.2941e+00 +1.7588e+00 +1.1991e+00 +5.1900e-01 +4.1359e-01 +1.5277e+00 +1.8920e+00 +1.3611e+00 +1.8363e+00 +1.1707e-01 +1.2111e+00 +1.2648e+00
% function evaluation | noise-free fitness - Fopt (-2.525000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.725782730e+01 +8.725782730e+01 +6.200782730e+01 +6.200782730e+01 +1.9870e+00 +1.2888e+00 +7.0637e-01 +3.5508e-02 +2.2985e-01 +8.1667e-02 +1.3167e+00 +1.3292e+00 +1.2883e+00 +3.8289e-01 +1.7470e+00 +1.2112e+00 +1.4933e+00 +1.6572e+00 +1.0439e+00 +1.2489e+00 +1.4659e+00 +1.3508e-01 +1.4018e+00 +4.1328e-01
% function evaluation | noise-free fitness - Fopt (2.230000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.391771381e+02 +1.391771381e+02 +1.414071381e+02 +1.414071381e+02 +5.5240e-01 +4.2150e-01 +1.3348e-02 +1.1877e+00 +9.9250e-01 +1.6324e+00 +1.5076e+00 +3.1216e-01 +1.0180e+00 +6.9546e-01 +1.9164e+00 +6.3184e-01 +1.3258e+00 +4.1376e-02 +1.9071e+00 +7.4167e-02 +4.3724e-01 +1.5368e+00 +1.3561e+00 +1.9500e+00
% function evaluation | noise-free fitness - Fopt (-1.308000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.417640814e+01 +8.417640814e+01 +7.109640814e+01 +7.109640814e+01 +7.5524e-01 +1.7876e-01 +1.0640e+00 +1.7617e+00 +9.2914e-01 +1.7956e+00 +1.7306e+00 +5.1450e-02 +1.6250e-01 +1.0391e-01 +2.2623e-02 +2.5841e-01 +1.7014e+00 +1.4921e+00 +9.7933e-01 +1.6245e-01 +1.8938e+00 +7.1075e-01 +5.6929e-01 +1.3893e+00
% function evaluation | noise-free fitness - Fopt (2.671600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.685448150e+02 +1.685448150e+02 +4.357048150e+02 +4.357048150e+02 +1.7049e+00 +1.1459e-01 +3.0600e-01 +1.2698e+00 +1.2905e+00 +1.1644e-02 +1.4350e+00 +1.8657e+00 +1.3637e+00 +1.2790e+00 +1.1076e-01 +1.5984e-01 +1.3395e+00 +1.8956e+00 +8.7572e-01 +1.2984e+00 +7.4002e-01 +5.1917e-01 +1.6606e+00 +1.7244e+00
13 +1.558340580e+02 +1.558340580e+02 +4.229940580e+02 +4.229940580e+02 +1.1215e+00 +2.3212e-01 +2.8483e-01 +1.4580e+00 +5.3096e-01 +5.1046e-01 +8.2807e-01 +6.2531e-01 +1.8925e+00 +1.0481e+00 +7.3076e-01 +1.7469e+00 +7.0232e-01 +9.6040e-01 +8.7855e-01 +7.3133e-01 +1.4287e+00 +9.0961e-01 +8.1344e-01 +1.9540e-01
% function evaluation | noise-free fitness - Fopt (3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.509953472e+02 +1.509953472e+02 +1.547053472e+02 +1.547053472e+02 +1.4936e+00 +6.8275e-01 +1.1215e+00 +5.8467e-01 +1.9869e+00 +1.9785e+00 +1.2549e+00 +1.9629e+00 +1.8590e+00 +2.7404e-02 +1.3767e+00 +1.6967e+00 +1.5459e+00 +1.1685e+00 +2.7582e-01 +1.7056e+00 +1.7978e+00 +5.1670e-01 +1.2487e+00 +9.4229e-01
% function evaluation | noise-free fitness - Fopt (9.478000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.066550619e+02 +1.066550619e+02 +2.014350619e+02 +2.014350619e+02 +2.4494e-01 +1.5465e+00 +1.7910e+00 +1.4202e+00 +1.3304e+00 +6.9698e-01 +1.7077e+00 +1.4568e+00 +1.3717e+00 +1.8070e+00 +5.9716e-01 +8.2926e-01 +4.2429e-01 +1.8859e+00 +1.0259e-01 +5.4851e-01 +5.1146e-01 +1.9816e+00 +9.3261e-01 +6.3154e-01
25 +9.965613925e+01 +9.965613925e+01 +1.944361392e+02 +1.944361392e+02 +8.4525e-01 +1.3382e-01 +1.9878e+00 +1.3159e-01 +1.3524e+00 +1.4001e+00 +5.9781e-01 +1.4794e+00 +8.6097e-01 +1.0149e+00 +5.2773e-01 +1.3104e+00 +1.6705e+00 +1.4675e+00 +8.7595e-01 +1.7030e-01 +1.8712e+00 +1.5275e-01 +1.4191e+00 +2.6881e-01
% function evaluation | noise-free fitness - Fopt (2.339200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.255237564e+02 +1.255237564e+02 +3.594437564e+02 +3.594437564e+02 +1.7482e+00 +1.3191e+00 +1.9005e+00 +1.6742e+00 +1.0755e+00 +1.5571e+00 +1.3625e+00 +5.0088e-01 +1.2905e+00 +1.7903e+00 +1.9573e-01 +1.3603e+00 +1.5923e+00 +1.8832e+00 +3.6591e-01 +3.1347e-01 +7.7795e-01 +8.5334e-01 +1.0772e+00 +1.3837e+00
2 +8.012851266e+01 +8.012851266e+01 +3.140485127e+02 +3.140485127e+02 +1.9718e-01 +4.2899e-01 +1.5543e+00 +1.1703e+00 +5.5521e-01 +1.7885e+00 +9.4899e-01 +9.4715e-01 +3.2513e-01 +1.3236e+00 +4.5297e-02 +3.6599e-01 +1.0222e-01 +6.7499e-01 +1.4787e+00 +1.9282e+00 +7.5317e-01 +1.0921e+00 +1.1665e+00 +9.3084e-01
% function evaluation | noise-free fitness - Fopt (-6.092000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.382844756e+02 +1.382844756e+02 +7.736447557e+01 +7.736447557e+01 +1.1719e+00 +7.1052e-01 +1.7597e+00 +9.4497e-01 +1.0550e+00 +1.4458e-01 +7.1058e-01 +7.4539e-01 +3.9457e-01 +1.0459e+00 +1.6316e+00 +1.0328e+00 +1.9039e+00 +5.9681e-01 +3.2389e-01 +5.6656e-01 +6.0401e-01 +9.6764e-01 +5.1105e-01 +1.4175e+00
18 +9.963928536e+01 +9.963928536e+01 +3.871928536e+01 +3.871928536e+01 +2.9623e-01 +1.8183e+00 +1.5710e+00 +1.3614e-01 +9.2241e-02 +4.2970e-01 +1.3724e+00 +1.4347e+00 +5.7189e-01 +1.1160e+00 +3.1520e-01 +2.5249e-01 +5.6065e-01 +1.5889e+00 +1.9565e+00 +4.8194e-01 +1.6288e+00 +1.8284e+00 +1.7147e+00 +4.9317e-01
% function evaluation | noise-free fitness - Fopt (-1.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.685280867e+01 +9.685280867e+01 +7.737280867e+01 +7.737280867e+01 +1.1561e+00 +1.5044e+00 +3.2074e-01 +6.4292e-01 +1.3265e+00 +1.0904e+00 +1.8717e-01 +1.7951e+00 +5.2081e-01 +1.1026e+00 +3.9904e-01 +6.5140e-01 +1.1332e+00 +1.7492e+00 +8.5099e-01 +2.8684e-01 +5.6278e-01 +1.5791e+00 +1.9671e+00 +4.1290e-01
% function evaluation | noise-free fitness - Fopt (1.344700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.802623246e+02 +1.802623246e+02 +3.147323246e+02 +3.147323246e+02 +1.3386e+00 +6.6642e-01 +1.1918e+00 +2.2742e-01 +1.1293e+00 +1.7736e+00 +6.9530e-01 +1.9771e+00 +2.5986e-01 +1.5382e-01 +1.0874e+00 +1.0706e+00 +1.7336e-01 +1.4971e+00 +1.7278e+00 +7.0602e-01 +1.7516e+00 +4.6251e-01 +3.2733e-01 +1.7440e+00
3 +1.550362723e+02 +1.550362723e+02 +2.895062723e+02 +2.895062723e+02 +3.6193e-01 +1.2196e+00 +1.0226e+00 +7.7973e-01 +2.0992e-01 +9.0019e-01 +7.2102e-01 +1.0569e+00 +5.9354e-01 +1.8409e+00 +1.0929e+00 +3.4436e-01 +9.3710e-01 +1.6435e+00 +3.0345e-01 +4.6954e-01 +1.3927e-01 +3.9510e-01 +6.2472e-01 +6.7151e-01
% function evaluation | noise-free fitness - Fopt (4.453500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
