% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.677776114e+04 +7.677776114e+04 +7.692691114e+04 +7.692691114e+04 +3.7260e-01 +1.5080e+00 +1.0823e+00 +1.8898e+00 +4.8929e-01 +9.6111e-01 +6.2309e-01 +1.9146e+00 +1.7413e+00 +1.8074e+00 +8.7585e-01 +1.2729e+00 +1.6561e+00 +3.2333e-01 +5.7548e-01 +1.3362e+00 +8.3384e-01 +1.0260e+00 +5.9146e-01 +6.4663e-01
11 +4.672085306e+04 +4.672085306e+04 +4.687000306e+04 +4.687000306e+04 +8.1751e-01 +7.1107e-01 +9.1216e-01 +1.9883e+00 +5.3259e-01 +3.6058e-01 +8.4020e-01 +5.7866e-01 +2.0344e-01 +1.1127e+00 +4.0864e-01 +1.3785e+00 +1.6873e+00 +2.4594e-01 +4.0347e-01 +1.0395e+00 +1.3390e+00 +2.3885e-01 +2.4046e-02 +8.0366e-01
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.428590979e+05 +2.428590979e+05 +2.418590979e+05 +2.418590979e+05 +1.7535e+00 +4.9833e-02 +1.5708e+00 +6.3258e-01 +1.6728e+00 +1.0709e+00 +6.4109e-01 +7.9651e-01 +1.0037e+00 +1.6422e+00 +1.2026e+00 +4.0662e-01 +1.5244e+00 +5.1442e-01 +1.5261e-01 +1.7738e+00 +1.6417e+00 +5.8913e-01 +3.1976e-01 +3.2624e-01
21 +1.382039895e+05 +1.382039895e+05 +1.372039895e+05 +1.372039895e+05 +5.1696e-01 +1.4029e+00 +4.8959e-01 +2.6474e-02 +1.9326e-01 +1.7030e+00 +3.6040e-01 +2.2495e-01 +1.4385e+00 +3.0244e-01 +2.1583e-01 +1.0596e+00 +2.9108e-01 +6.7246e-02 +1.6174e+00 +2.0131e-01 +6.4069e-01 +7.8413e-01 +1.8613e+00 +1.1547e+00
% function evaluation | noise-free fitness - Fopt (9.862000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.434428350e+05 +3.434428350e+05 +3.435414550e+05 +3.435414550e+05 +5.9565e-01 +1.0619e+00 +1.3831e+00 +6.5689e-01 +6.1811e-01 +9.1562e-01 +1.3114e+00 +1.9992e+00 +1.9361e+00 +1.3579e+00 +1.4312e+00 +1.6287e+00 +1.1172e-01 +1.7280e+00 +1.4833e-01 +7.4315e-02 +6.7609e-01 +1.2331e+00 +1.8085e+00 +2.6430e-01
2 +2.339931637e+05 +2.339931637e+05 +2.340917837e+05 +2.340917837e+05 +1.7209e+00 +4.0859e-01 +1.9030e+00 +8.8031e-01 +1.6893e+00 +8.0422e-01 +1.1664e+00 +1.4528e-01 +4.6416e-01 +9.6723e-01 +1.5416e+00 +1.9012e+00 +2.6392e-01 +1.4127e+00 +1.2763e+00 +2.1943e-01 +1.3285e+00 +1.5327e-03 +6.9410e-01 +1.6924e+00
81 +1.510093565e+05 +1.510093565e+05 +1.511079765e+05 +1.511079765e+05 +1.8426e+00 +8.3587e-01 +1.1829e+00 +1.3009e-01 +1.2022e-01 +1.4773e+00 +1.1432e+00 +1.1779e-01 +6.8160e-01 +1.1401e+00 +7.7942e-01 +3.6309e-01 +1.4408e+00 +2.1843e-01 +7.6252e-01 +8.5974e-01 +1.1104e+00 +1.7861e-01 +1.5199e+00 +4.6833e-01
% function evaluation | noise-free fitness - Fopt (-4.715000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
