% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.631977798e+02 +3.631977798e+02 +4.658077798e+02 +4.658077798e+02 +1.6600e+00 +1.4352e+00 +1.1645e+00 +1.3177e+00 +1.9611e+00 +4.5391e-01 +9.5079e-02 +9.0909e-01 +1.5382e+00 +1.9102e+00 +1.4413e+00 +1.2760e+00 +1.3010e+00 +7.8181e-01 +4.9579e-02 +1.2302e+00 +5.5463e-01 +3.0046e-01 +8.3566e-01 +1.6511e+00
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.769496752e+02 +3.769496752e+02 +4.702496752e+02 +4.702496752e+02 +1.3677e+00 +1.7888e+00 +1.1258e+00 +1.5784e+00 +8.1534e-01 +4.6953e-01 +1.3373e+00 +1.2418e+00 +1.3421e+00 +1.7460e+00 +1.2279e+00 +1.7157e+00 +8.9378e-02 +9.4388e-01 +3.7317e-01 +1.5741e-01 +3.6913e-01 +1.8040e-01 +1.8937e+00 +4.4436e-01
% function evaluation | noise-free fitness - Fopt (1.364000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.999466175e+02 +2.999466175e+02 +3.135866175e+02 +3.135866175e+02 +3.1633e-02 +8.3030e-01 +3.1613e-01 +9.9994e-01 +1.3344e+00 +7.4627e-01 +1.1306e+00 +1.0561e+00 +9.8823e-01 +1.3033e+00 +1.0972e+00 +4.3818e-01 +6.6583e-01 +1.7455e+00 +1.5394e+00 +1.3078e+00 +1.7381e+00 +7.8622e-01 +9.1355e-02 +7.2651e-01
% function evaluation | noise-free fitness - Fopt (1.948000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.868306905e+02 +3.868306905e+02 +5.816306905e+02 +5.816306905e+02 +2.5021e-01 +2.3180e-01 +1.8897e+00 +1.3581e+00 +1.2781e+00 +8.5897e-02 +1.5650e+00 +1.2203e+00 +3.4711e-01 +1.1465e+00 +1.6385e+00 +5.8342e-01 +1.7127e+00 +1.8225e-02 +5.1122e-01 +1.8793e+00 +3.5351e-01 +1.0799e+00 +8.9211e-01 +1.5281e+00
% function evaluation | noise-free fitness - Fopt (-1.335900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.562823170e+02 +4.562823170e+02 +3.226923170e+02 +3.226923170e+02 +4.0141e-01 +1.3317e+00 +1.7369e+00 +8.3858e-01 +8.6200e-01 +7.2203e-01 +1.8581e+00 +5.2237e-01 +1.2172e+00 +1.9225e-01 +9.5095e-01 +1.1066e+00 +1.1290e+00 +9.4964e-01 +6.8955e-01 +6.3503e-01 +1.9412e+00 +6.9696e-01 +1.8199e+00 +1.5932e+00
5 +3.713438327e+02 +3.713438327e+02 +2.377538327e+02 +2.377538327e+02 +1.2395e+00 +1.7701e+00 +8.3568e-01 +3.2768e-01 +1.0372e+00 +8.1364e-01 +3.7605e-01 +1.5207e+00 +1.0591e+00 +4.0957e-01 +5.7294e-01 +1.4757e-01 +1.4664e+00 +5.4355e-01 +5.6809e-02 +7.4524e-01 +4.0198e-01 +8.2109e-01 +6.5562e-02 +8.1119e-01
