% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.951662135e+04 +5.951662135e+04 +5.897012135e+04 +5.897012135e+04 +2.7717e-01 +6.0978e-01 +1.8590e+00 +7.0322e-01 +1.6658e+00 +5.1463e-01 +1.2242e+00 +6.3774e-01 +8.5668e-01 +1.7088e+00 +1.1855e+00 +2.4285e-01 +3.3459e-01 +5.4089e-01 +1.4673e+00 +1.7634e+00 +1.3161e-01 +4.2318e-01 +1.9608e+00 +1.4863e+00
2 +3.848892488e+04 +3.848892488e+04 +3.794242488e+04 +3.794242488e+04 +6.7024e-03 +1.9441e+00 +9.3092e-01 +3.0819e-01 +8.7522e-01 +1.1459e+00 +1.0954e+00 +1.9875e-01 +1.9040e+00 +3.3544e-01 +6.4265e-01 +1.7648e+00 +5.5288e-01 +6.6276e-01 +2.2397e-01 +1.2794e+00 +2.3115e-01 +5.7594e-01 +5.7919e-01 +8.4246e-01
11 +1.298428722e+04 +1.298428722e+04 +1.243778722e+04 +1.243778722e+04 +3.3663e-01 +4.4441e-01 +1.6325e+00 +1.9115e+00 +9.4984e-01 +2.2104e-02 +4.0529e-01 +8.2101e-01 +9.9599e-01 +1.9972e+00 +9.7594e-02 +7.8031e-01 +1.3926e+00 +5.0108e-01 +8.7727e-01 +2.5239e-01 +5.2215e-01 +3.1928e-01 +4.5980e-02 +1.1397e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.285943765e+04 +9.285943765e+04 +9.385943765e+04 +9.385943765e+04 +6.1664e-01 +1.5639e+00 +4.0095e-01 +1.6638e-01 +9.1661e-01 +7.6031e-01 +1.6742e+00 +1.0230e+00 +1.9228e+00 +1.2052e+00 +6.9619e-01 +1.1493e+00 +2.5516e-01 +1.8730e+00 +1.0003e+00 +1.5794e+00 +1.3379e+00 +9.0948e-01 +3.0141e-02 +9.8729e-01
25 +6.118139373e+04 +6.118139373e+04 +6.218139373e+04 +6.218139373e+04 +1.0618e-01 +3.3245e-01 +1.1056e+00 +1.1385e+00 +1.4481e+00 +1.7215e+00 +8.2794e-01 +1.9330e+00 +1.3484e+00 +7.9658e-01 +5.2673e-01 +5.2789e-01 +1.2014e+00 +1.3730e-01 +1.7004e+00 +6.9139e-01 +5.3356e-01 +4.0298e-02 +8.0602e-01 +3.4736e-01
% function evaluation | noise-free fitness - Fopt (2.083800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.714764313e+04 +1.714764313e+04 +1.735602313e+04 +1.735602313e+04 +1.7864e+00 +1.7775e+00 +1.4968e+00 +1.3745e+00 +1.2709e+00 +3.0722e-01 +5.5591e-01 +5.5533e-01 +4.7757e-01 +1.2451e+00 +1.3170e+00 +1.7753e+00 +4.9841e-01 +1.8530e+00 +1.8635e+00 +1.0423e+00 +1.0351e+00 +6.8046e-01 +1.9501e+00 +1.6372e+00
3 +9.511534505e+03 +9.511534505e+03 +9.719914505e+03 +9.719914505e+03 +3.8193e-01 +1.2704e+00 +1.2062e+00 +1.8228e+00 +9.2663e-01 +2.5745e-01 +1.4502e+00 +9.8450e-01 +3.1700e-01 +1.5891e+00 +4.8948e-01 +6.8824e-01 +4.9008e-01 +3.7283e-01 +5.5171e-01 +3.6820e-01 +1.5673e+00 +2.8084e-01 +2.3056e-01 +5.0709e-01
19 +5.112294135e+03 +5.112294135e+03 +5.320674135e+03 +5.320674135e+03 +6.0748e-01 +1.1487e+00 +7.7713e-01 +1.4625e+00 +6.5757e-01 +1.8056e+00 +6.2966e-01 +1.2193e+00 +2.9751e-01 +5.3493e-01 +1.2681e+00 +1.0696e+00 +3.6339e-01 +3.7071e-01 +1.7354e+00 +7.1522e-01 +1.1146e+00 +8.4203e-01 +9.0496e-01 +1.3613e+00
23 +3.636322897e+03 +3.636322897e+03 +3.844702897e+03 +3.844702897e+03 +1.3092e+00 +5.5445e-01 +5.1889e-02 +5.6485e-01 +6.7981e-01 +1.8413e+00 +1.6883e+00 +8.2181e-01 +1.0787e+00 +3.4977e-01 +1.5788e-01 +1.7476e+00 +4.5594e-01 +1.3278e-01 +1.9395e+00 +4.3234e-01 +1.7154e+00 +1.4676e+00 +1.9020e+00 +3.9178e-01
% function evaluation | noise-free fitness - Fopt (-1.449600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.759971369e+04 +8.759971369e+04 +8.745475369e+04 +8.745475369e+04 +4.5856e-01 +1.9186e+00 +1.0621e+00 +3.3989e-01 +2.3164e-01 +1.3200e+00 +1.4711e+00 +1.1265e+00 +1.0597e+00 +4.8793e-01 +1.3534e-01 +7.6090e-02 +3.5459e-01 +1.8148e+00 +7.5868e-01 +1.3299e+00 +1.3822e+00 +1.8316e+00 +8.4629e-03 +1.8571e+00
3 +4.879646565e+04 +4.879646565e+04 +4.865150565e+04 +4.865150565e+04 +7.8825e-01 +4.6846e-01 +5.4714e-01 +2.2581e-01 +1.3691e+00 +9.6501e-01 +1.6889e+00 +1.1322e+00 +4.5624e-01 +4.6146e-01 +1.4725e+00 +1.3777e+00 +5.9874e-01 +3.2658e-01 +7.8270e-01 +8.5439e-01 +1.7955e+00 +2.9787e-01 +1.1295e+00 +1.4347e+00
5 +3.934041971e+04 +3.934041971e+04 +3.919545971e+04 +3.919545971e+04 +1.2695e+00 +1.2934e+00 +1.0699e+00 +7.8890e-01 +1.3809e+00 +1.5669e+00 +5.1138e-02 +1.9801e+00 +5.9348e-01 +9.9850e-01 +8.6138e-01 +8.8599e-01 +1.2992e+00 +3.6905e-02 +1.0924e-01 +1.0833e+00 +9.5385e-02 +1.0043e+00 +8.1702e-01 +1.4433e+00
6 +1.915751117e+04 +1.915751117e+04 +1.901255117e+04 +1.901255117e+04 +1.6762e+00 +9.2243e-01 +1.8752e+00 +7.4360e-01 +1.6365e+00 +1.3102e+00 +1.6218e+00 +1.5234e+00 +1.7066e+00 +6.1004e-01 +1.1238e+00 +1.7659e+00 +3.0955e-01 +1.5602e+00 +1.4814e+00 +9.6568e-01 +6.3174e-02 +7.1514e-01 +8.8809e-01 +2.2650e-01
98 +1.466195469e+04 +1.466195469e+04 +1.451699469e+04 +1.451699469e+04 +1.3012e+00 +1.4209e+00 +4.1397e-01 +1.7376e+00 +1.3425e+00 +1.8557e+00 +1.3396e+00 +4.6142e-01 +1.2678e+00 +1.5672e-01 +6.9133e-01 +8.0823e-01 +1.3910e+00 +8.5029e-01 +1.4971e+00 +2.4540e-01 +9.9975e-02 +5.0079e-01 +1.9875e+00 +2.3841e-01
% function evaluation | noise-free fitness - Fopt (-6.300000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.355289669e+04 +7.355289669e+04 +7.354659669e+04 +7.354659669e+04 +1.3260e+00 +6.6300e-01 +6.3951e-01 +9.7240e-01 +1.4376e+00 +4.8733e-01 +1.8579e-01 +6.4389e-01 +2.6564e-01 +5.4602e-01 +1.1215e+00 +7.3341e-01 +2.9488e-01 +1.8493e+00 +2.9134e-01 +9.9319e-01 +6.4317e-01 +6.5188e-01 +6.3504e-01 +1.9672e+00
4 +6.004474393e+04 +6.004474393e+04 +6.003844393e+04 +6.003844393e+04 +1.9476e+00 +1.3668e+00 +2.4913e-01 +1.9911e+00 +1.9397e+00 +5.4009e-01 +4.2448e-01 +8.4565e-01 +6.4556e-01 +1.0025e+00 +1.0881e+00 +1.7109e+00 +2.7949e-01 +1.9999e+00 +5.8877e-01 +1.7820e+00 +4.4749e-01 +1.4780e+00 +2.0435e-01 +1.2438e+00
30 +3.747155934e+04 +3.747155934e+04 +3.746525934e+04 +3.746525934e+04 +1.9615e-01 +1.5557e+00 +1.7731e+00 +9.3992e-01 +1.0634e+00 +6.8237e-01 +7.4895e-01 +9.3111e-01 +1.2838e+00 +1.5666e-01 +7.0185e-01 +3.8107e-01 +5.4005e-01 +7.5533e-01 +7.4084e-01 +1.1819e+00 +1.3713e+00 +3.7980e-01 +3.0225e-02 +1.1644e-01
% function evaluation | noise-free fitness - Fopt (-3.790000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.456507500e+04 +7.456507500e+04 +7.456128500e+04 +7.456128500e+04 +1.4695e+00 +9.6806e-02 +1.5314e+00 +1.2206e+00 +3.0778e-01 +4.6091e-01 +1.7408e-01 +4.1335e-01 +5.3978e-01 +1.4418e+00 +1.0786e+00 +7.3623e-02 +1.8436e+00 +1.9551e+00 +5.1407e-01 +1.2418e+00 +1.8974e-01 +1.2513e+00 +1.8887e+00 +1.3131e+00
2 +5.111465174e+04 +5.111465174e+04 +5.111086174e+04 +5.111086174e+04 +8.3628e-01 +1.4313e+00 +1.7692e+00 +1.9170e+00 +1.8681e+00 +7.0023e-01 +1.5180e+00 +7.8034e-01 +1.4673e+00 +1.9164e+00 +2.5148e-01 +6.8143e-02 +4.5112e-01 +1.8978e+00 +1.9666e-01 +9.9735e-01 +1.6545e+00 +1.9625e+00 +1.4732e+00 +1.1028e+00
6 +3.660675578e+04 +3.660675578e+04 +3.660296578e+04 +3.660296578e+04 +1.7115e+00 +6.9672e-01 +3.8385e-01 +1.9630e+00 +1.4955e+00 +9.9554e-01 +8.8136e-01 +1.9123e+00 +9.5024e-01 +1.6832e+00 +1.6334e+00 +5.7055e-01 +1.7482e+00 +8.6459e-01 +1.4064e+00 +2.9277e-01 +2.5818e-02 +5.7419e-01 +2.2315e-01 +3.1593e-01
10 +2.082950743e+04 +2.082950743e+04 +2.082571743e+04 +2.082571743e+04 +1.8977e+00 +1.0344e+00 +7.5468e-01 +6.8401e-01 +1.0584e-01 +1.9002e+00 +3.0741e-01 +1.5446e+00 +3.7153e-01 +1.6407e-01 +1.9066e+00 +5.9527e-01 +1.1822e+00 +5.1892e-01 +1.2547e+00 +1.2103e+00 +1.7127e+00 +1.3231e+00 +1.5698e-01 +3.4628e-03
28 +1.583981090e+04 +1.583981090e+04 +1.583602090e+04 +1.583602090e+04 +1.1354e+00 +1.7324e+00 +6.4623e-01 +1.5513e+00 +1.1110e+00 +1.5784e+00 +9.6408e-01 +1.9293e+00 +6.1382e-01 +2.5814e-01 +5.7010e-01 +1.6093e+00 +8.3532e-01 +2.5053e-01 +1.4525e+00 +1.3685e+00 +1.5139e+00 +1.5203e+00 +5.3026e-02 +1.1584e-01
% function evaluation | noise-free fitness - Fopt (-5.675000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.812875259e+04 +5.812875259e+04 +5.807200259e+04 +5.807200259e+04 +1.6631e+00 +1.5709e+00 +4.0957e-01 +1.2108e+00 +1.7567e+00 +2.5028e-01 +6.4830e-01 +1.6969e+00 +6.2940e-01 +5.2745e-01 +2.3564e-01 +1.3555e+00 +1.4376e-01 +1.3956e+00 +3.3639e-01 +1.8453e+00 +1.4528e+00 +1.7711e+00 +1.4328e-01 +6.3071e-01
7 +3.242237073e+04 +3.242237073e+04 +3.236562073e+04 +3.236562073e+04 +1.4204e+00 +1.2209e+00 +2.2819e-01 +1.0650e+00 +3.7077e-01 +1.0403e+00 +4.1966e-01 +1.0342e+00 +3.1380e-01 +9.2739e-01 +1.9594e-01 +1.0752e+00 +1.8235e+00 +1.8467e-01 +1.9651e+00 +8.1129e-01 +5.9031e-01 +8.2745e-01 +4.2864e-01 +2.5636e-01
183 +2.489320516e+04 +2.489320516e+04 +2.483645516e+04 +2.483645516e+04 +1.4190e+00 +1.3906e+00 +1.7171e+00 +1.4235e+00 +3.5713e-01 +9.7418e-01 +1.4576e-01 +1.1955e+00 +1.3648e+00 +1.8806e+00 +9.6647e-01 +1.8370e+00 +6.4649e-01 +3.1201e-01 +1.6743e+00 +6.4573e-01 +1.2994e+00 +4.7740e-01 +4.3856e-01 +1.4742e-01
% function evaluation | noise-free fitness - Fopt (-5.980000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.070728132e+04 +7.070728132e+04 +7.064748132e+04 +7.064748132e+04 +1.1602e+00 +8.6916e-01 +7.3101e-01 +1.9607e+00 +6.1843e-02 +5.3870e-02 +1.1298e+00 +2.2597e-01 +1.7062e+00 +7.6688e-01 +9.8384e-02 +2.9533e-01 +2.5621e-01 +9.8793e-01 +4.5763e-01 +1.7322e+00 +3.9804e-01 +8.7518e-01 +1.4139e+00 +1.8131e+00
4 +5.770236284e+04 +5.770236284e+04 +5.764256284e+04 +5.764256284e+04 +9.9214e-01 +6.5481e-01 +1.6345e+00 +6.4840e-01 +1.1720e+00 +1.0917e+00 +8.5574e-02 +5.6115e-01 +1.4052e+00 +1.8760e+00 +7.6103e-01 +3.0780e-01 +1.6087e+00 +1.9607e+00 +5.5042e-01 +1.5597e+00 +1.7781e+00 +5.6576e-01 +5.1450e-01 +1.1024e+00
7 +3.685228023e+04 +3.685228023e+04 +3.679248023e+04 +3.679248023e+04 +1.6536e+00 +1.1254e+00 +2.7473e-02 +8.0530e-01 +3.4653e-01 +1.2960e+00 +5.0917e-01 +2.2966e-01 +7.1349e-01 +8.2198e-01 +4.2794e-01 +1.9116e+00 +6.8686e-01 +1.0468e+00 +2.2734e-01 +8.2826e-01 +8.0132e-01 +1.0277e+00 +8.2640e-01 +1.0764e-01
111 +1.943143551e+04 +1.943143551e+04 +1.937163551e+04 +1.937163551e+04 +1.8952e+00 +2.0039e-01 +6.7055e-01 +5.6810e-01 +4.6263e-02 +6.4749e-01 +2.2781e-01 +1.0752e+00 +2.6763e-01 +1.4800e+00 +1.4418e+00 +7.4459e-01 +2.3786e-01 +1.4016e+00 +1.3665e+00 +1.2553e+00 +1.3543e-02 +1.1678e+00 +2.8565e-01 +2.0101e-02
% function evaluation | noise-free fitness - Fopt (1.155700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.131765402e+04 +4.131765402e+04 +4.143322402e+04 +4.143322402e+04 +5.0502e-01 +8.5551e-01 +9.9222e-01 +1.4176e+00 +1.3035e+00 +1.7164e+00 +1.7132e+00 +3.5888e-02 +1.9019e+00 +1.1711e+00 +7.1187e-01 +8.6364e-01 +8.5824e-01 +8.7525e-01 +1.7029e+00 +8.1559e-01 +5.7569e-01 +4.2150e-01 +1.4210e-01 +7.3758e-01
5 +2.197103654e+04 +2.197103654e+04 +2.208660654e+04 +2.208660654e+04 +1.4759e+00 +1.6456e+00 +3.6687e-01 +6.4017e-02 +1.0009e+00 +9.1561e-02 +5.5928e-01 +3.6077e-01 +2.3971e-01 +9.7767e-01 +7.5007e-01 +1.4013e+00 +2.4322e-01 +1.0475e+00 +4.6455e-01 +7.0743e-01 +4.0396e-01 +8.7634e-02 +2.4930e-02 +1.1750e+00
% function evaluation | noise-free fitness - Fopt (-3.912000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.280937400e+04 +7.280937400e+04 +7.277025400e+04 +7.277025400e+04 +5.6982e-01 +1.2502e+00 +1.4507e+00 +3.2469e-01 +1.5141e+00 +7.2811e-01 +1.3744e+00 +1.5073e+00 +7.7118e-01 +6.6186e-01 +1.3862e+00 +8.9378e-01 +1.3108e+00 +1.7869e+00 +7.7712e-01 +1.0992e+00 +6.7837e-01 +1.5778e+00 +5.5107e-01 +1.4873e+00
3 +5.422657453e+04 +5.422657453e+04 +5.418745453e+04 +5.418745453e+04 +1.3344e+00 +1.0577e+00 +7.1916e-01 +9.7286e-01 +1.8897e+00 +1.2124e+00 +1.0590e+00 +4.5293e-01 +3.3218e-01 +5.3788e-01 +1.4227e+00 +1.9358e+00 +1.1851e+00 +1.3495e-01 +1.0790e+00 +9.4623e-01 +1.1071e+00 +4.1336e-01 +5.4912e-01 +1.4251e+00
11 +3.857352942e+04 +3.857352942e+04 +3.853440942e+04 +3.853440942e+04 +2.4805e-01 +1.4352e+00 +9.7620e-01 +4.7438e-01 +6.0431e-01 +1.7300e+00 +1.3581e+00 +9.0967e-01 +1.4286e+00 +8.3616e-01 +1.0689e+00 +2.8294e-01 +1.9181e+00 +1.2032e+00 +1.6146e+00 +8.7880e-01 +2.0835e-01 +6.0373e-01 +1.7554e-01 +1.4336e-01
% function evaluation | noise-free fitness - Fopt (-8.801000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.435926676e+04 +2.435926676e+04 +2.427125676e+04 +2.427125676e+04 +9.4938e-01 +9.9958e-01 +1.7192e+00 +1.6472e+00 +7.2991e-01 +1.6930e+00 +1.4260e+00 +1.9682e-01 +1.8889e+00 +3.5799e-01 +4.2427e-01 +1.2335e+00 +1.5441e+00 +1.7612e+00 +4.6062e-02 +1.5877e+00 +1.4592e+00 +1.7869e+00 +4.9390e-01 +9.7915e-02
2 +1.580672281e+04 +1.580672281e+04 +1.571871281e+04 +1.571871281e+04 +6.3034e-01 +6.1034e-01 +1.8939e+00 +1.4804e+00 +1.9824e+00 +8.0531e-01 +1.0724e+00 +1.8928e+00 +5.1655e-01 +1.1531e+00 +1.0849e+00 +4.0457e-01 +1.6826e+00 +1.7693e+00 +6.3184e-01 +9.3892e-01 +5.6932e-01 +1.0944e-01 +1.1400e-01 +1.3677e+00
29 +9.467680583e+03 +9.467680583e+03 +9.379670583e+03 +9.379670583e+03 +1.3524e+00 +6.8019e-02 +3.6997e-01 +1.3683e+00 +7.6972e-01 +1.1892e+00 +1.4757e+00 +3.9794e-01 +9.1974e-01 +6.3381e-01 +1.7267e+00 +1.5207e+00 +5.9911e-01 +3.4866e-01 +1.5266e+00 +1.8648e+00 +2.3391e-01 +1.9505e+00 +1.3088e-01 +5.2207e-01
164 +5.273849158e+03 +5.273849158e+03 +5.185839158e+03 +5.185839158e+03 +1.3570e+00 +1.6555e+00 +1.4855e+00 +1.2967e+00 +1.3383e+00 +1.8480e+00 +1.8404e+00 +5.5117e-02 +7.5549e-01 +1.7525e+00 +6.2521e-01 +1.2960e+00 +1.6577e+00 +1.0859e+00 +2.7611e-01 +5.0615e-01 +7.7045e-02 +1.3637e+00 +1.3670e-01 +1.8822e+00
% function evaluation | noise-free fitness - Fopt (7.934000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.646956421e+04 +1.646956421e+04 +1.654890421e+04 +1.654890421e+04 +1.7668e+00 +7.0785e-01 +1.4830e+00 +7.3353e-01 +1.7854e+00 +1.6232e+00 +4.4889e-01 +1.4539e+00 +1.2780e+00 +1.4648e+00 +1.3635e+00 +1.8335e+00 +1.0826e+00 +5.0881e-01 +6.5549e-01 +1.1102e+00 +1.1890e+00 +8.3093e-01 +1.3887e+00 +5.0460e-01
3 +1.372058366e+04 +1.372058366e+04 +1.379992366e+04 +1.379992366e+04 +9.4050e-01 +3.0753e-01 +8.6678e-01 +1.7424e-01 +1.0193e+00 +6.4768e-01 +5.0031e-01 +1.3067e+00 +1.0578e+00 +1.8051e+00 +2.0506e-02 +8.8587e-02 +8.3604e-01 +3.7800e-01 +6.3001e-01 +1.6055e+00 +1.1529e+00 +1.3144e+00 +1.2088e+00 +1.3264e+00
4 +8.240997572e+03 +8.240997572e+03 +8.320337572e+03 +8.320337572e+03 +4.9929e-01 +7.6494e-01 +1.3653e+00 +1.1005e+00 +4.9911e-01 +9.8251e-01 +3.8860e-01 +2.8279e-02 +1.7375e+00 +6.9822e-01 +6.4642e-02 +1.6880e+00 +1.7669e+00 +6.6857e-01 +8.9760e-01 +1.3580e+00 +3.8426e-01 +4.2304e-01 +1.7060e+00 +1.4151e+00
29 +5.847514817e+03 +5.847514817e+03 +5.926854817e+03 +5.926854817e+03 +1.6115e+00 +1.2917e+00 +8.8016e-01 +3.3531e-02 +7.7573e-02 +1.2423e+00 +1.3858e-01 +2.5326e-01 +6.9674e-01 +8.6226e-01 +7.2804e-01 +4.9717e-01 +1.1245e+00 +1.8624e+00 +1.1067e-01 +1.6713e+00 +4.8004e-01 +2.2064e-01 +1.7297e+00 +1.8078e+00
% function evaluation | noise-free fitness - Fopt (1.721800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.257417799e+04 +4.257417799e+04 +4.274635799e+04 +4.274635799e+04 +1.7393e+00 +1.0776e+00 +3.0681e-01 +9.6193e-01 +3.0677e-01 +7.8945e-01 +4.2102e-01 +6.1179e-01 +7.7289e-01 +1.0930e+00 +8.1639e-01 +8.5290e-01 +1.8915e+00 +4.7910e-01 +2.2925e-01 +2.8599e-01 +3.1236e-01 +1.9529e+00 +1.0404e+00 +1.3607e+00
12 +2.957374366e+04 +2.957374366e+04 +2.974592366e+04 +2.974592366e+04 +1.8585e+00 +1.8006e+00 +6.3149e-01 +1.9627e+00 +1.0786e+00 +7.9643e-01 +1.6365e+00 +3.3723e-01 +1.0919e+00 +1.7219e-02 +2.1337e-01 +9.8794e-02 +1.3455e+00 +4.1995e-01 +5.1046e-01 +4.5927e-01 +7.0716e-01 +1.4503e+00 +9.6408e-01 +7.0857e-01
34 +2.138934507e+04 +2.138934507e+04 +2.156152507e+04 +2.156152507e+04 +1.5332e+00 +9.6826e-02 +1.4545e+00 +1.8620e+00 +1.9384e+00 +1.4879e+00 +5.7810e-01 +3.1616e-01 +7.0212e-01 +1.3349e+00 +1.7443e+00 +3.1611e-01 +4.6962e-01 +1.8069e+00 +3.6057e-01 +2.2590e-01 +7.9085e-01 +1.7019e+00 +1.1671e+00 +1.8423e-01
52 +1.247995579e+04 +1.247995579e+04 +1.265213579e+04 +1.265213579e+04 +1.4049e+00 +8.5835e-01 +1.9765e+00 +7.7358e-01 +1.3130e+00 +1.0140e-01 +5.2163e-01 +6.7690e-01 +1.5773e+00 +1.5243e+00 +3.5754e-01 +4.4908e-01 +8.1272e-02 +8.8332e-02 +8.2082e-01 +3.8570e-01 +3.0885e-01 +1.8923e+00 +1.5980e+00 +1.4571e-01
% function evaluation | noise-free fitness - Fopt (-3.181900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.439151764e+04 +3.439151764e+04 +3.407332764e+04 +3.407332764e+04 +2.2260e-01 +4.8252e-01 +8.7865e-02 +1.8188e+00 +1.6383e+00 +5.0811e-01 +1.7254e+00 +3.6237e-01 +1.2249e+00 +1.1144e+00 +3.7501e-01 +1.3472e+00 +1.1886e+00 +1.9831e+00 +7.4297e-01 +4.4394e-01 +8.7702e-02 +3.6612e-01 +1.1003e-01 +1.8518e+00
14 +2.258117049e+04 +2.258117049e+04 +2.226298049e+04 +2.226298049e+04 +4.1261e-01 +1.0316e+00 +3.4590e-02 +1.1676e-01 +5.2956e-01 +1.6082e+00 +4.6830e-01 +8.0220e-01 +6.6680e-02 +1.5088e+00 +1.1422e+00 +1.0273e+00 +8.3952e-02 +8.5451e-01 +2.2206e-01 +9.7441e-01 +8.8144e-01 +2.1274e-01 +3.6384e-01 +6.5946e-01
105 +1.371959635e+04 +1.371959635e+04 +1.340140635e+04 +1.340140635e+04 +1.7526e+00 +9.7360e-01 +7.5985e-01 +6.2714e-01 +6.9989e-01 +1.9905e+00 +7.5057e-01 +1.2554e+00 +1.2445e+00 +1.8624e+00 +1.3780e+00 +5.2383e-01 +4.1196e-01 +1.3350e-01 +3.4426e-01 +1.9946e+00 +1.8023e-01 +1.4688e-01 +1.5445e+00 +1.7438e+00
% function evaluation | noise-free fitness - Fopt (-5.276000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.664302046e+03 +9.664302046e+03 +9.611542046e+03 +9.611542046e+03 +2.3173e-01 +1.6925e-01 +1.0011e+00 +1.0407e+00 +1.5900e+00 +4.4367e-01 +1.0102e+00 +1.1692e+00 +9.0861e-01 +5.1708e-01 +6.9912e-01 +8.7746e-02 +1.6131e+00 +1.9159e+00 +6.2915e-01 +6.8854e-02 +2.9120e-01 +1.7123e+00 +1.7395e+00 +1.9979e-01
